Group,body_fat,weight
1,12.3,154.25
1,6.1,173.25
1,25.3,154
1,10.4,184.75
1,28.7,184.25
1,20.9,210.25
1,19.2,181
1,12.4,176
1,4.1,191
1,11.7,198.25
1,7.1,186.25
1,7.8,216
1,20.8,180.5
1,21.2,205.25
1,22.1,187.75
1,20.9,162.75
1,29,195.75
1,22.9,209.25
1,16,183.75
1,16.5,211.75
1,19.1,179
1,15.2,200.5
1,15.6,140.25
1,17.7,148.75
1,14,151.25
1,3.7,159.25
1,7.9,131.5
1,22.9,148
1,3.7,133.25
1,8.8,160.75
1,11.9,182
1,5.7,160.25
1,11.8,168
1,21.3,218.5
1,32.3,247.25
1,40.1,191.75
1,24.2,202.25
1,28.4,196.75
1,35.2,363.15
1,32.6,203
1,34.5,262.75
1,32.9,205
1,31.6,217
1,32,212
1,7.7,125.25
1,13.9,164.25
1,10.8,133.5
1,5.6,148.5
1,13.6,135.75
1,4,127.5
1,10.2,158.25
1,6.6,139.25
1,8,137.25
1,6.3,152.75
1,3.9,136.25
1,22.6,198
1,20.4,181.5
1,28,201.25
1,31.5,202.5
1,24.6,179.75
1,26.1,216
1,29.8,178.75
1,30.7,193.25
1,25.8,178
1,32.3,205.5
1,30,183.5
1,21.5,151.5
1,13.8,154.75
1,6.3,155.25
1,12.9,156.75
1,24.3,167.5
1,8.8,146.75
1,8.5,160.75
1,13.5,125
1,11.8,143
1,18.5,148.25
1,8.8,162.5
1,22.2,177.75
1,21.5,161.25
1,18.8,171.25
1,31.4,163.75
1,26.8,150.25
1,18.4,190.25
1,27,170.75
1,27,168
1,26.6,167
1,14.9,157.75
1,23.1,160
1,8.3,176.75
1,14.1,176
1,20.5,177
1,18.2,179.75
1,8.5,165.25
1,24.9,192.5
1,9,184.25
1,17.4,224.5
1,9.6,188.75
1,11.3,162.5
1,17.8,156.5
1,22.2,197
1,21.2,198.5
1,20.4,173.75
1,20.1,172.75
1,22.3,196.75
1,25.4,177
1,18,165.5
1,19.3,200.25
1,18.3,203.25
1,17.3,194
1,21.4,168.5
1,19.7,170.75
1,28,183.25
1,22.1,178.25
1,21.3,163
1,26.7,175.25
1,16.7,158
1,20.1,177.25
1,13.9,179
1,25.8,191
1,18.1,187.5
1,27.9,206.5
1,25.3,185.25
1,14.7,160.25
1,16,151.5
1,13.8,161
1,17.5,167
1,27.2,177.5
1,17.4,152.25
1,20.8,192.25
1,14.9,165.25
1,18.1,171.75
1,22.7,171.25
1,23.6,197
1,26.1,157
1,24.4,168.25
1,27.1,186
1,21.8,166.75
1,29.4,187.75
1,22.4,168.25
1,20.4,212.75
1,24.9,176.75
1,18.3,173.25
1,23.3,167
1,9.4,159.75
1,10.3,188.15
1,14.2,156
1,19.2,208.5
1,29.6,206.5
1,5.3,143.75
1,25.2,223
1,9.4,152.25
1,19.6,241.75
1,10.1,146
1,16.5,156.75
1,21,200.25
1,17.3,171.5
1,31.2,205.75
1,10,182.5
1,12.5,136.5
1,22.5,177.25
1,9.4,151.25
1,14.6,196
1,13,184.25
1,15.1,140
1,27.3,218.75
1,19.2,217
1,21.8,166.25
1,20.3,224.75
1,34.3,228.25
1,16.5,172.75
1,3,152.25
1,0.7,125.75
1,20.5,177.25
1,16.9,176.25
1,25.3,226.75
1,9.9,145.25
1,13.1,151
1,29.9,241.25
1,22.5,187.25
1,16.9,234.75
1,26.6,219.25
1,0,118.5
1,11.5,145.75
1,12.1,159.25
1,17.5,170.5
1,8.6,167.5
1,23.6,232.75
1,20.4,210.5
1,20.5,202.25
1,24.4,185
1,11.4,153
1,38.1,244.25
1,15.9,193.5
1,24.7,224.75
1,22.8,162.75
1,25.5,180
1,22,156.25
1,17.7,168
1,6.6,167.25
1,23.6,170.75
1,12.2,178.25
1,22.1,150
1,28.7,200.5
1,6,184
1,34.8,223
1,16.6,208.75
1,32.9,166
1,32.8,195
1,9.6,160.5
1,10.8,159.75
1,7.1,140.5
1,27.2,216.25
1,19.5,168.25
1,18.7,194.75
1,19.5,172.75
1,47.5,219
1,13.6,149.25
1,7.5,154.5
1,24.5,199.25
1,15,154.5
1,12.4,153.25
1,26,230
1,11.5,161.75
1,5.2,142.25
1,10.9,179.75
1,12.5,126.5
1,14.8,169.5
1,25.2,198.5
1,14.9,174.5
1,17,167.75
1,10.6,147.75
1,16.1,182.25
1,15.4,175.5
1,26.7,161.75
1,25.8,157.75
1,18.6,168.75
1,24.8,191.5
1,27.3,219.15
1,12.4,155.25
1,29.9,189.75
1,17,127.5
1,35,224.5
1,30.4,234.25
1,32.6,227.75
1,29,199.5
1,15.2,155.5
1,30.2,215.5
1,11,134.25
1,33.6,201
1,29.3,186.75
1,26,190.75
1,31.9,207.5
2,12.3,94.5
2,6.1,98.7
2,25.3,99.2
2,10.4,101.2
2,28.7,101.9
2,20.9,107.8
2,19.2,100.3
2,12.4,97.1
2,4.1,99.9
2,11.7,104.1
2,7.1,98.2
2,7.8,107.7
2,20.8,103.9
2,21.2,108.6
2,22.1,100.1
2,20.9,99.2
2,29,105.2
2,22.9,107
2,16,102.4
2,16.5,109
2,19.1,104.9
2,15.2,104.8
2,15.6,94.6
2,17.7,93.4
2,14,95.8
2,3.7,96.5
2,7.9,85.3
2,22.9,94.7
2,3.7,88.5
2,8.8,98.7
2,11.9,99.8
2,5.7,100.6
2,11.8,94.5
2,21.3,108.3
2,32.3,116.1
2,40.1,113.8
2,24.2,106.2
2,28.4,104.8
2,35.2,147.7
2,32.6,102.5
2,34.5,125.6
2,32.9,115.5
2,31.6,114.1
2,32,106
2,7.7,88.2
2,13.9,97.2
2,10.8,88.5
2,5.6,92.7
2,13.6,90.4
2,4,87.2
2,10.2,98.3
2,6.6,91
2,8,89.1
2,6.3,91.6
2,3.9,88.6
2,22.6,99.6
2,20.4,102.5
2,28,105.8
2,31.5,97
2,24.6,99.6
2,26.1,103.1
2,29.8,100.8
2,30.7,99.4
2,25.8,99.7
2,32.3,108.3
2,30,104.2
2,21.5,93.9
2,13.8,91.8
2,6.3,96.1
2,12.9,94.3
2,24.3,98.5
2,8.8,95.5
2,8.5,96.3
2,13.5,88.6
2,11.8,93
2,18.5,94.8
2,8.8,94.3
2,22.2,98.3
2,21.5,99.3
2,18.8,100.2
2,31.4,97.1
2,26.8,96.9
2,18.4,99.6
2,27,95
2,27,96.2
2,26.6,96.2
2,14.9,96.9
2,23.1,93.8
2,8.3,99.3
2,14.1,98.3
2,20.5,102.2
2,18.2,100.6
2,8.5,95.4
2,24.9,100.6
2,9,101.4
2,17.4,107.5
2,9.6,102.4
2,11.3,96.2
2,17.8,92.8
2,22.2,103.7
2,21.2,101.7
2,20.4,98.3
2,20.1,98.3
2,22.3,101.6
2,25.4,99.5
2,18,96.6
2,19.3,103.6
2,18.3,100.7
2,17.3,102.1
2,21.4,100.6
2,19.7,99.3
2,28,103
2,22.1,98.6
2,21.3,99.8
2,26.7,97.5
2,16.7,92.6
2,20.1,99.7
2,13.9,96.4
2,25.8,104.3
2,18.1,101
2,27.9,104.1
2,25.3,101.4
2,14.7,97.5
2,16,95.2
2,13.8,94
2,17.5,100
2,27.2,98.5
2,17.4,93.2
2,20.8,99.5
2,14.9,97.8
2,18.1,95.8
2,22.7,99.1
2,23.6,103.2
2,26.1,92.3
2,24.4,98.4
2,27.1,102.1
2,21.8,95.6
2,29.4,100.6
2,22.4,98.3
2,20.4,107.7
2,24.9,101.6
2,18.3,99.3
2,23.3,98.9
2,9.4,93.9
2,10.3,102.5
2,14.2,95.3
2,19.2,110.1
2,29.6,106.2
2,5.3,92.1
2,25.2,113.9
2,9.4,93.5
2,19.6,114.4
2,10.1,91.1
2,16.5,95.2
2,21,105
2,17.3,98.3
2,31.2,106.4
2,10,102.5
2,12.5,89.8
2,22.5,99.3
2,9.4,91.5
2,14.6,105.1
2,13,103.5
2,15.1,89.6
2,27.3,108.8
2,19.2,104.5
2,21.8,95.6
2,20.3,106.8
2,34.3,111.9
2,16.5,98.1
2,3,92.8
2,0.7,89.2
2,20.5,98.7
2,16.9,99.9
2,25.3,114.4
2,9.9,89.2
2,13.1,96.4
2,29.9,113.9
2,22.5,101.9
2,16.9,109.9
2,26.6,109.8
2,0,85
2,11.5,91.6
2,12.1,96.1
2,17.5,95.5
2,8.6,98.1
2,23.6,108.8
2,20.4,104.1
2,20.5,101.8
2,24.4,103.1
2,11.4,92.3
2,38.1,112.4
2,15.9,102.7
2,24.7,111.8
2,22.8,96.5
2,25.5,100.6
2,22,96.2
2,17.7,101
2,6.6,99
2,23.6,94.2
2,12.2,99.2
2,22.1,96.9
2,28.7,105.5
2,6,102.6
2,34.8,107.1
2,16.6,102
2,32.9,100.1
2,32.8,101.7
2,9.6,91.8
2,10.8,94
2,7.1,89
2,27.2,109
2,19.5,99.1
2,18.7,104.2
2,19.5,96.1
2,47.5,112.8
2,13.6,96.3
2,7.5,94.4
2,24.5,105
2,15,94.5
2,12.4,96.2
2,26,105.5
2,11.5,95.6
2,5.2,91.9
2,10.9,98.2
2,12.5,87.5
2,14.8,97.1
2,25.2,106.6
2,14.9,98.4
2,17,97
2,10.6,90.1
2,16.1,100.7
2,15.4,97.8
2,26.7,100.2
2,25.8,94
2,18.6,93.7
2,24.8,101.1
2,27.3,111.8
2,12.4,94.5
2,29.9,100.5
2,17,87.6
2,35,114.3
2,30.4,109.1
2,32.6,109.8
2,29,101.6
2,15.2,94.4
2,30.2,110
2,11,88.8
2,33.6,104.5
2,29.3,101.7
2,26,97.8
2,31.9,107.1
